                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.95238,                0.65526,                 1.0223,                0.81788,                0.66053,                0.72792,                 0.4491,                 1.4725,                 1.1132,                 1.3687,             0.00027006,             0.00027006,             0.00027006
                     73,                0.93289,                0.63118,                 1.0139,                 0.8118,                0.67308,                0.73119,                 0.4532,                 1.4592,                  1.069,                 1.3747,             0.00026106,             0.00026106,             0.00026106
                     74,                0.93403,                0.62813,                 1.0149,                0.79374,                0.68771,                0.72403,                0.43838,                 1.4726,                 1.0811,                 1.3731,             0.00025207,             0.00025207,             0.00025207
                     75,                0.93818,                0.62969,                 1.0185,                0.80018,                0.67517,                0.72958,                0.43955,                 1.4758,                 1.0936,                 1.3744,             0.00024307,             0.00024307,             0.00024307
                     76,                0.90442,                0.60929,                 1.0123,                0.77947,                0.70163,                0.73572,                0.44081,                 1.4702,                 1.1072,                 1.3781,             0.00023407,             0.00023407,             0.00023407
                     77,                 0.9071,                 0.6289,                 1.0047,                0.78399,                0.71211,                0.74132,                0.45267,                 1.4712,                 1.0788,                 1.3802,             0.00022507,             0.00022507,             0.00022507
                     78,                0.90059,                0.61201,                 1.0055,                0.80513,                0.69101,                0.74784,                0.45034,                 1.4706,                 1.1125,                 1.3824,             0.00021607,             0.00021607,             0.00021607
                     79,                0.92154,                0.61868,                0.99858,                0.83433,                0.67899,                0.75563,                0.45703,                 1.4702,                 1.0512,                 1.3888,             0.00020707,             0.00020707,             0.00020707
                     80,                0.92662,                0.63247,                 1.0083,                0.81282,                0.69637,                0.75206,                0.45498,                 1.4628,                 1.0519,                 1.3739,             0.00019807,             0.00019807,             0.00019807
                     81,                  0.909,                 0.6112,                0.99674,                0.81704,                 0.6745,                0.74134,                0.44989,                 1.4604,                 1.0575,                 1.3767,             0.00018907,             0.00018907,             0.00018907
                     82,                0.87581,                0.59404,                0.99592,                0.80553,                0.67488,                0.74153,                0.45733,                 1.4475,                 1.0598,                 1.3726,             0.00018007,             0.00018007,             0.00018007
                     83,                0.89943,                0.60209,                 1.0041,                0.77167,                0.68688,                 0.7429,                0.45261,                 1.4503,                 1.0968,                 1.3674,             0.00017107,             0.00017107,             0.00017107
                     84,                0.88614,                 0.6034,                0.98949,                 0.8407,                0.65018,                0.74967,                0.46288,                 1.4446,                 1.0626,                 1.3621,             0.00016207,             0.00016207,             0.00016207
                     85,                 0.8748,                0.58612,                0.98734,                0.82429,                0.67588,                0.74998,                0.46447,                 1.4435,                  1.065,                 1.3523,             0.00015308,             0.00015308,             0.00015308
                     86,                 0.8777,                0.59377,                0.98488,                0.80263,                0.69676,                0.74992,                0.46326,                 1.4375,                 1.0385,                 1.3443,             0.00014408,             0.00014408,             0.00014408
                     87,                0.86311,                0.59796,                 1.0002,                0.80165,                0.70027,                0.74792,                0.46658,                 1.4289,                 1.0217,                 1.3545,             0.00013508,             0.00013508,             0.00013508
                     88,                0.86898,                0.58538,                0.99294,                0.80644,                0.69087,                0.74187,                0.46258,                 1.4319,                 1.0454,                 1.3477,             0.00012608,             0.00012608,             0.00012608
                     89,                0.85299,                0.58409,                0.98979,                0.80139,                0.69429,                 0.7471,                0.46941,                 1.4348,                 1.0298,                 1.3489,             0.00011708,             0.00011708,             0.00011708
                     90,                0.86416,                0.57265,                0.99081,                0.79202,                0.69723,                0.75332,                0.46959,                 1.4403,                 1.0127,                 1.3525,             0.00010808,             0.00010808,             0.00010808
                     91,                0.88004,                0.60791,                0.98627,                0.78126,                0.67651,                 0.7256,                  0.438,                 1.4693,                 1.1453,                 1.3764,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.84938,                0.57091,                0.97545,                0.75288,                0.67396,                0.71026,                0.42875,                 1.4865,                 1.1484,                 1.3973,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.83163,                0.54175,                0.96604,                0.79107,                0.68747,                 0.7324,                0.43827,                 1.4813,                 1.0836,                 1.4012,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.80919,                0.52027,                0.96317,                0.79885,                0.68083,                0.73947,                 0.4433,                 1.4752,                 1.0598,                 1.3991,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.81009,                0.52366,                0.96576,                0.77206,                 0.7075,                0.74023,                0.44482,                 1.4775,                  1.046,                 1.3939,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                  0.794,                0.50975,                0.95309,                 0.8076,                0.68338,                0.74181,                0.44658,                 1.4747,                 1.0469,                 1.3892,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.80827,                0.51905,                0.95482,                0.77574,                0.70926,                0.74906,                0.45228,                 1.4678,                 1.0482,                 1.3814,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.79398,                 0.5165,                 0.9543,                0.77034,                0.71918,                0.75248,                  0.456,                  1.464,                 1.0504,                 1.3774,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.78214,                0.50517,                0.93878,                0.77383,                0.72038,                0.75382,                   0.46,                 1.4597,                 1.0468,                  1.374,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.78182,                0.50509,                0.94904,                0.77762,                0.71806,                0.75492,                0.45976,                 1.4603,                 1.0485,                 1.3745,             1.8089e-05,             1.8089e-05,             1.8089e-05
